question,answer,url,__term,searchQuery
Onde passar o jogo do Corinthians hoje?,,,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Quais as chances do Corinthians ser rebaixado?,,,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
O que o Corinthians precisa para classificar na Sul-Americana?,"Se vencer o Huracán na Argentina, independentemente do resultado do outro jogo, o Corinthians assegura a segunda colocação e a vaga no confronto diante do terceiro colocado de um dos grupos da Sul-Americana.",,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
O que é o Corinthians cabeçuda?,"⚽�� O famoso “Corinthians Cabeçuda”, um meme que brinca com o escudo do Corinthians em uma versão exageradamente alongada, enganou mais um jogador: Mateus Bidu.",,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Porque Corinthians é Timão?,,,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
São Paulo 9x2 Corinthians é verdade?,,,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
É verdade que Rodrigo Garro vai sair do Corinthians?,,,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
O Corinthians pode perder pontos?,,,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Quantos mundiais o SCCP tem?,,,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
O que significa sccp 1910?,"1910 A fundação. Às 20h30 do dia 1º de setembro, à luz de um lampião, na esquina das ruas José Paulino e Cônego Martins, no bairro do Bom Retiro, o grupo de operários formado por Anselmo Corrêa, Antônio Pereira, Carlos Silva, Joaquim Ambrósio e Raphael Perrone fundaram o Sport Club Corinthians Paulista.",,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
O que é o Corinthians cabeçuda?,"⚽�� O famoso “Corinthians Cabeçuda”, um meme que brinca com o escudo do Corinthians em uma versão exageradamente alongada, enganou mais um jogador: Mateus Bidu.",,SCCP,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""SCCP"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=SCCP&hl=pt-BR""}"
O que é o universo sccp?,"O Universo SCCP é uma plataforma criada pelo Corinthians com o objetivo unificar toda a experiência digital alvinegra. O aplicativo foi lançado em abril de 2022 e conta com conteúdos exclusivos, quizzes, transmissões de jogos, pesquisas, espaços para palpites, ranking e pontuação dos torcedores.",,SCCP,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""SCCP"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=SCCP&hl=pt-BR""}"
O que o Corinthians precisa para se livrar do rebaixamento?,,,SCCP,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""SCCP"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=SCCP&hl=pt-BR""}"
O que é o Corinthians cabeçuda?,,,SCCP,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""SCCP"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=SCCP&hl=pt-BR""}"
Qual é a dívida do Sport Club Corinthians Paulista?,,,SCCP,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""SCCP"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=SCCP&hl=pt-BR&start=10""}"
Quanto custa para treinar na escolinha do Corinthians?,"R$ 450,00 (público geral) R$ 360,00 (Fiel Torcedor)",,Sport Clube Corinthians Paulista,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Sport Clube Corinthians Paulista"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Sport+Clube+Corinthians+Paulista&hl=pt-BR""}"
Quando a Neo química comprou a Arena?,,,Sport Clube Corinthians Paulista,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Sport Clube Corinthians Paulista"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Sport+Clube+Corinthians+Paulista&hl=pt-BR""}"
Qual o estádio mais luxuoso do Brasil?,,,Sport Clube Corinthians Paulista,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Sport Clube Corinthians Paulista"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Sport+Clube+Corinthians+Paulista&hl=pt-BR""}"
Qual é o valor da Neo Química Arena?,,,Sport Clube Corinthians Paulista,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Sport Clube Corinthians Paulista"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Sport+Clube+Corinthians+Paulista&hl=pt-BR""}"
Porque se chama Neo Química Arena?,,,Sport Clube Corinthians Paulista,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Sport Clube Corinthians Paulista"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Sport%20Clube%20Corinthians%20Paulista&hl=pt-BR&start=10""}"
